data:text/csv;charset=utf-8,Id,metric_alias_metrics_view_graph_0,metric_alias_metrics_view_graph_1,metric_alias_metrics_view_graph_2
StatusCode,Complete,Complete,Complete,
Messages,,,,
Full label,eu-north-1:AWS/Lambda Duration Minimum 60,eu-north-1:AWS/Lambda Duration Average 1,eu-north-1:AWS/Lambda Duration Maximum 1
Label,Duration,Duration,Duration,
2024/08/03 21:50:54,,,,
2024/08/03 21:50:55,,,,
2024/08/03 21:50:56,,,,
2024/08/03 21:50:57,,,,
2024/08/03 21:50:58,,,,
2024/08/03 21:50:59,,,,
2024/08/03 21:51:00,988.44,1332.3185358536584,2393.84,
2024/08/03 21:51:01,,,,
2024/08/03 21:51:02,,,,
2024/08/03 21:51:03,,,,
2024/08/03 21:51:04,,,,
2024/08/03 21:51:05,,,,
2024/08/03 21:51:06,,,,
2024/08/03 21:51:07,,,,
2024/08/03 21:51:08,,,,
2024/08/03 21:51:09,,,,
2024/08/03 21:51:10,,,,
2024/08/03 21:51:11,,,,
2024/08/03 21:51:12,,,,
2024/08/03 21:51:13,,,,
2024/08/03 21:51:14,,,,
2024/08/03 21:51:15,,,,
2024/08/03 21:51:16,,,,
2024/08/03 21:51:17,,,,
2024/08/03 21:51:18,,,,
2024/08/03 21:51:19,,,,
2024/08/03 21:51:20,,,,
2024/08/03 21:51:21,,,,
2024/08/03 21:51:22,,,,
2024/08/03 21:51:23,,,,
2024/08/03 21:51:24,,,,
2024/08/03 21:51:25,,,,
2024/08/03 21:51:26,,,,
2024/08/03 21:51:27,,,,
2024/08/03 21:51:28,,,,
2024/08/03 21:51:29,,,,
2024/08/03 21:51:30,,,,
2024/08/03 21:51:31,,,,
2024/08/03 21:51:32,,,,
2024/08/03 21:51:33,,,,
2024/08/03 21:51:34,,,,
2024/08/03 21:51:35,,,,
2024/08/03 21:51:36,,,,
2024/08/03 21:51:37,,,,
2024/08/03 21:51:38,,,,
2024/08/03 21:51:39,,,,
2024/08/03 21:51:40,,,,
2024/08/03 21:51:41,,,,
2024/08/03 21:51:42,,,,
2024/08/03 21:51:43,,,,
2024/08/03 21:51:44,,,,
2024/08/03 21:51:45,,,,
2024/08/03 21:51:46,,,,
2024/08/03 21:51:47,,,,
2024/08/03 21:51:48,,,,
2024/08/03 21:51:49,,,,
2024/08/03 21:51:50,,,,
2024/08/03 21:51:51,,,,
2024/08/03 21:51:52,,,,
2024/08/03 21:51:53,,,,
2024/08/03 21:51:54,,,,
2024/08/03 21:51:55,,,,
2024/08/03 21:51:56,,,,
2024/08/03 21:51:57,,,,
2024/08/03 21:51:58,,,,
2024/08/03 21:51:59,,,,
2024/08/03 21:52:00,1014.53,1245.089443888889,2341.49,
