bin(30s),avg(@duration),max(@duration),min(@duration)
2024-08-03 08:33:30.000,1286.6051,2080.138,1005.619
2024-08-03 08:33:00.000,1318.7472,2153.672,1003.011
2024-08-03 08:32:30.000,1584.8451,2137.169,995.277
2024-08-03 08:32:00.000,1317.807,2127.897,977.776
2024-08-03 08:31:30.000,1237.4051,2146.217,991.366
2024-08-03 08:31:00.000,1597.3708,2123.913,1003.949
2024-08-03 08:30:30.000,1505.2362,2166.99,1025.224
2024-08-03 08:29:30.000,1646.5113,2209.423,1004.763
2024-08-03 08:29:00.000,1563.587,2215.214,1127.482
