bin(30s),Average,NinetyNinth,NinetyFifth,Ninetieth
2024-08-05 13:33:30.000,1479.625,2508,2508,2456
2024-08-05 13:33:00.000,1327.0417,2497,2412,2120
2024-08-05 13:32:30.000,1435.1923,2484,2450,2162
2024-08-05 13:32:00.000,1585.5714,2453,2453,2182
2024-08-05 13:31:30.000,1669.1071,2515,2510,2490
2024-08-05 13:31:00.000,1678.4286,2488,2488,2470
2024-08-05 13:30:30.000,1919.1364,2538,2484,2462
2024-08-05 13:30:00.000,1506.8,1580,1580,1580
