data:text/csv;charset=utf-8,Id,metric_alias_metrics_view_graph_0
StatusCode,Complete
Messages,
Full label,eu-north-1:AWS/Lambda Invocations Sum 60
Label,Invocations
2024/08/05 16:31:00,42
2024/08/05 16:32:00,44
2024/08/05 16:33:00,36
