@timestamp,requestId,functionArn,executionTime
2024-08-05 13:32:18.839,f4a3be09-7545-59ab-b5f0-e123a3e56e44,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.071501637s
2024-08-05 13:32:18.840,,,
2024-08-05 13:32:19.979,,,
2024-08-05 13:32:19.979,414f8e31-9f7a-5533-9da7-d11b49e1e17e,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.447297361s
2024-08-05 13:32:19.980,,,
2024-08-05 13:32:19.982,,,
2024-08-05 13:32:19.982,5a9b3515-b4e2-50f1-9aa7-6a3f62438b80,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.175958751s
2024-08-05 13:32:19.983,,,
2024-08-05 13:32:20.015,,,
2024-08-05 13:32:20.615,,,
2024-08-05 13:32:20.615,8e80bba3-af97-5f75-8aab-e489790bada0,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.126219863s
2024-08-05 13:32:20.616,,,
2024-08-05 13:32:21.108,,,
2024-08-05 13:32:21.108,f909f44f-24b3-5b2f-bd2b-ab65f23fd163,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.090171329s
2024-08-05 13:32:21.109,,,
2024-08-05 13:32:21.154,,,
2024-08-05 13:32:23.270,,,
2024-08-05 13:32:23.270,260a939a-39d4-59af-8d53-ccb0ef58e2fe,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.11052442s
2024-08-05 13:32:23.271,,,
2024-08-05 13:32:35.917,,,
2024-08-05 13:32:36.051,,,
2024-08-05 13:32:36.109,,,
2024-08-05 13:32:36.201,,,
2024-08-05 13:32:36.282,,,
2024-08-05 13:32:36.989,,,
2024-08-05 13:32:36.989,95f1d19b-9681-5cf3-82a3-8eb1402db4cb,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.069385743s
2024-08-05 13:32:36.990,,,
2024-08-05 13:32:37.014,,,
2024-08-05 13:32:37.146,,,
2024-08-05 13:32:37.146,e0042822-2ec0-597a-8454-7708f863ee95,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.093156219s
2024-08-05 13:32:37.147,,,
2024-08-05 13:32:37.274,,,
2024-08-05 13:32:37.274,b2a6ce49-0360-5665-bcfd-9163d5c1dcd0,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.071564012s
2024-08-05 13:32:37.275,,,
2024-08-05 13:32:37.377,,,
2024-08-05 13:32:37.377,fc923098-2341-5f12-96f3-6fb2f5e78fe0,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.265491019s
2024-08-05 13:32:37.378,,,
2024-08-05 13:32:37.383,,,
2024-08-05 13:32:37.409,,,
2024-08-05 13:32:37.500,,,
2024-08-05 13:32:37.500,857cdf42-d71e-5d95-b33a-806801ba66e4,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.21550029s
2024-08-05 13:32:37.501,,,
2024-08-05 13:32:38.068,,,
2024-08-05 13:32:38.068,8c9c0a28-eca3-50a8-be41-55023a0bc4dc,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.051030358s
2024-08-05 13:32:38.069,,,
2024-08-05 13:32:38.103,,,
2024-08-05 13:32:38.488,,,
2024-08-05 13:32:38.488,fc7e0d98-018d-52d8-afc4-52b2d738786d,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.10321263s
2024-08-05 13:32:38.489,,,
2024-08-05 13:32:38.513,,,
2024-08-05 13:32:38.581,,,
2024-08-05 13:32:38.922,,,
2024-08-05 13:32:39.526,,,
2024-08-05 13:32:39.526,97e4d15b-a912-51c7-8ec8-8e717fa45628,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.010432366s
2024-08-05 13:32:39.527,,,
2024-08-05 13:32:39.858,,,
2024-08-05 13:32:39.858,5e293063-7c78-5cdc-bc30-6f49aadc4285,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.441567095s
2024-08-05 13:32:39.859,,,
2024-08-05 13:32:39.889,,,
2024-08-05 13:32:40.011,,,
2024-08-05 13:32:40.011,ecf1dbd0-3861-5f82-93c9-84faeed7b4f3,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.086759309s
2024-08-05 13:32:40.012,,,
2024-08-05 13:32:40.186,,,
2024-08-05 13:32:40.186,f6988856-3ffb-5112-b83f-d77ce9516b5e,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.078171602s
2024-08-05 13:32:40.187,,,
2024-08-05 13:32:40.210,,,
2024-08-05 13:32:41.063,,,
2024-08-05 13:32:41.063,1b9402d2-d7e2-57d4-90a0-5df80154ad61,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.474092936s
2024-08-05 13:32:41.064,,,
2024-08-05 13:32:41.071,,,
2024-08-05 13:32:41.071,609598bb-51d1-536f-9b41-c7918774e1ba,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.179429642s
2024-08-05 13:32:41.072,,,
2024-08-05 13:32:42.310,,,
2024-08-05 13:32:42.310,0a868ff3-8385-5ff7-a67c-d0d955223bba,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.096645864s
2024-08-05 13:32:42.311,,,
2024-08-05 13:32:42.334,,,
2024-08-05 13:32:44.442,,,
2024-08-05 13:32:44.442,0ce5d23a-1b79-5a63-9413-8d10cdd21132,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.105035401s
2024-08-05 13:32:44.443,,,
2024-08-05 13:32:56.486,,,
2024-08-05 13:32:56.640,,,
2024-08-05 13:32:56.650,,,
2024-08-05 13:32:56.694,,,
2024-08-05 13:32:56.783,,,
2024-08-05 13:32:56.795,,,
2024-08-05 13:32:57.546,,,
2024-08-05 13:32:57.546,404f192b-d096-5ad8-8f8a-4601062f5137,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.057171487s
2024-08-05 13:32:57.547,,,
2024-08-05 13:32:57.707,,,
2024-08-05 13:32:57.707,0dc1176f-27c2-537a-8ca2-4845f1026388,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.01007473s
2024-08-05 13:32:57.708,,,
2024-08-05 13:32:57.737,,,
2024-08-05 13:32:57.870,,,
2024-08-05 13:32:57.870,2e3923ed-a53d-577f-902c-7cc773ffef47,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.227070127s
2024-08-05 13:32:57.871,,,
2024-08-05 13:32:57.892,,,
2024-08-05 13:32:57.907,,,
2024-08-05 13:32:57.907,1bb01eba-f397-54e3-9429-4190252ce913,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.25453157s
2024-08-05 13:32:57.908,,,
2024-08-05 13:32:57.927,,,
