bin(30s),avg(@duration),max(@duration),min(@duration)
2024-08-06 17:49:00.000,1017.9891,1116.962,901.444
2024-08-06 17:48:30.000,1000.3815,2128.127,887.147
2024-08-06 17:48:00.000,989.2015,1106.981,908.647
2024-08-06 17:47:30.000,1163.3,2210.712,897.422
2024-08-06 17:47:00.000,1170.0939,2142.586,889.181
2024-08-06 17:46:30.000,1523.7927,2220.197,930.668
2024-08-06 17:46:00.000,1340.6861,2323.465,949.867
