data:text/csv;charset=utf-8,Id,metric_alias_metrics_view_graph_0
StatusCode,Complete
Messages,
Full label,eu-north-1:LambdaInsights function_name:awsCrayfish total_network Maximum 60
Label,total_network
2024/08/06 20:46:00,46734
2024/08/06 20:47:00,36523
2024/08/06 20:48:00,27701
2024/08/06 20:49:00,36641
