bin(30s),Average,NinetyNinth,NinetyFifth,Ninetieth
2024-08-06 17:49:00.000,1018.5,1117,1114,1113
2024-08-06 17:48:30.000,1000.8462,2129,1102,1083
2024-08-06 17:48:00.000,989.7,1107,1107,1089
2024-08-06 17:47:30.000,1163.8214,2211,2187,1919
2024-08-06 17:47:00.000,1170.6667,2143,2132,1914
2024-08-06 17:46:30.000,1531.7407,2221,2216,2191
2024-08-06 17:46:00.000,1431.375,2536,2536,2230
