data:text/csv;charset=utf-8,Id,metric_alias_metrics_view_graph_0
StatusCode,Complete,
Messages,,
Full label,eu-north-1:AWS/Lambda Invocations Sum 60,
Label,Invocations,
2024/08/07 16:27:00,42,
2024/08/07 16:28:00,45,
2024/08/07 16:29:00,53,
2024/08/07 16:30:00,17,
