bin(30s),Average,NinetyNinth,NinetyFifth,Ninetieth
2024-08-08 18:27:00.000,861.1579,1636,1636,882
2024-08-08 18:26:30.000,1065.0333,1674,1657,1633
2024-08-08 18:26:00.000,1060.6,1699,1699,1677
2024-08-08 18:25:30.000,1047.7,1696,1685,1644
2024-08-08 18:25:00.000,1223.5185,2046,2001,1709
2024-08-08 18:24:30.000,1361.6923,1964,1964,1634
2024-08-08 18:24:00.000,1481.9091,1994,1994,1963
