@timestamp,requestId,functionArn,executionTime
2024-08-08 18:24:46.545,,,
2024-08-08 18:24:46.718,,,
2024-08-08 18:24:47.211,,,
2024-08-08 18:24:47.211,1f3e8b1d-7965-50c1-b61f-d43276cb9477,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,818.244551ms
2024-08-08 18:24:47.212,,,
2024-08-08 18:24:47.318,,,
2024-08-08 18:24:47.318,7883aaa7-5795-5c35-958f-f588583b6b1a,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,771.088303ms
2024-08-08 18:24:47.319,,,
2024-08-08 18:24:47.359,,,
2024-08-08 18:24:47.359,cde6d2f7-3438-57a3-ab5f-8dd83b951f17,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.406269325s
2024-08-08 18:24:47.360,,,
2024-08-08 18:24:47.562,,,
2024-08-08 18:24:47.562,5a962fbe-7704-590b-b0cb-709178aada44,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,840.962474ms
2024-08-08 18:24:47.563,,,
2024-08-08 18:24:48.007,,,
2024-08-08 18:24:48.007,378810c5-6e93-5d44-ac97-4fea613d65f0,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.601266444s
2024-08-08 18:24:48.008,,,
2024-08-08 18:25:00.949,,,
2024-08-08 18:25:01.090,,,
2024-08-08 18:25:01.124,,,
2024-08-08 18:25:01.161,,,
2024-08-08 18:25:01.199,,,
2024-08-08 18:25:01.557,,,
2024-08-08 18:25:01.757,,,
2024-08-08 18:25:01.757,7eb04b3f-b798-5002-bd8d-1410b82874b4,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,805.671312ms
2024-08-08 18:25:01.758,,,
2024-08-08 18:25:01.843,,,
2024-08-08 18:25:01.871,,,
2024-08-08 18:25:01.871,334b0f15-343a-5b25-8015-503a3b958308,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,744.436094ms
2024-08-08 18:25:01.872,,,
2024-08-08 18:25:01.896,,,
2024-08-08 18:25:01.896,1ca2ad4e-0fcb-5626-b76b-f26100641109,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,804.150611ms
2024-08-08 18:25:01.897,,,
2024-08-08 18:25:01.980,,,
2024-08-08 18:25:02.284,,,
2024-08-08 18:25:02.636,,,
2024-08-08 18:25:02.780,,,
2024-08-08 18:25:02.780,3f0a256e-fd96-5461-b250-7a41f22b7c4c,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,796.830287ms
2024-08-08 18:25:02.780,,,
2024-08-08 18:25:02.826,,,
2024-08-08 18:25:02.826,b27b3ee5-4ef5-5e79-a6b3-61ca415a66cd,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.661012779s
2024-08-08 18:25:02.827,,,
2024-08-08 18:25:02.835,,,
2024-08-08 18:25:02.835,c687d5b1-d549-5849-9739-8a9edaf8bb06,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.630369586s
2024-08-08 18:25:02.836,,,
2024-08-08 18:25:02.856,,,
2024-08-08 18:25:02.857,,,
2024-08-08 18:25:02.864,,,
2024-08-08 18:25:02.864,,,
2024-08-08 18:25:02.998,,,
2024-08-08 18:25:02.998,79239efc-ff71-536a-bc4c-c1d3f0cf77dc,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,712.46979ms
2024-08-08 18:25:02.999,,,
2024-08-08 18:25:03.220,,,
2024-08-08 18:25:03.220,183aeab5-4586-5019-a169-b59a4a3ba8ad,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.657556862s
2024-08-08 18:25:03.221,,,
2024-08-08 18:25:03.287,,,
2024-08-08 18:25:03.515,,,
2024-08-08 18:25:03.515,6392b367-6541-5969-a990-ec486afc3ddf,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.662940876s
2024-08-08 18:25:03.516,,,
2024-08-08 18:25:03.729,,,
2024-08-08 18:25:03.792,,,
2024-08-08 18:25:04.099,,,
2024-08-08 18:25:04.099,ea97e441-f6d6-5d9d-aecb-bb6ef969d5b0,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,809.15261ms
2024-08-08 18:25:04.100,,,
2024-08-08 18:25:04.205,,,
2024-08-08 18:25:04.498,,,
2024-08-08 18:25:04.498,0e31edf2-1fb4-554e-8cd8-b2dd100bb1f8,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,703.679336ms
2024-08-08 18:25:04.499,,,
2024-08-08 18:25:04.671,,,
2024-08-08 18:25:04.681,,,
2024-08-08 18:25:04.681,99d15d89-9413-53e2-ab09-02a69bad84cd,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.80889023s
2024-08-08 18:25:04.682,,,
2024-08-08 18:25:05.036,,,
2024-08-08 18:25:05.036,04c87503-2a37-57da-9445-2a2c25f7136c,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,829.366858ms
2024-08-08 18:25:05.037,,,
2024-08-08 18:25:05.352,,,
2024-08-08 18:25:05.352,457baa7e-07ff-5400-88d5-f5510840574f,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.617325504s
2024-08-08 18:25:05.353,,,
2024-08-08 18:25:17.697,,,
2024-08-08 18:25:17.718,,,
2024-08-08 18:25:17.734,,,
2024-08-08 18:25:17.868,,,
2024-08-08 18:25:17.880,,,
2024-08-08 18:25:17.886,,,
2024-08-08 18:25:18.138,,,
2024-08-08 18:25:18.484,,,
2024-08-08 18:25:18.508,,,
2024-08-08 18:25:18.508,2b8daf97-f134-5e17-91c2-f0b8fef6dd58,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,788.190819ms
2024-08-08 18:25:18.510,,,
2024-08-08 18:25:18.519,,,
2024-08-08 18:25:18.519,36122ca3-4f27-5e3b-8a07-738c40e1eda3,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,819.755738ms
2024-08-08 18:25:18.520,,,
2024-08-08 18:25:18.538,,,
2024-08-08 18:25:18.546,,,
2024-08-08 18:25:18.585,,,
2024-08-08 18:25:18.585,5c106a46-65e7-5a21-938e-35696a277e97,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,715.270771ms
2024-08-08 18:25:18.586,,,
2024-08-08 18:25:18.699,,,
2024-08-08 18:25:18.700,,,
2024-08-08 18:25:18.710,,,
2024-08-08 18:25:18.710,,,
2024-08-08 18:25:18.738,,,
2024-08-08 18:25:18.926,,,
