bin(30s),avg(@duration),max(@duration),min(@duration)
2024-08-08 18:27:00.000,860.5245,1635.057,695.826
2024-08-08 18:26:30.000,1064.542,1673.367,691.849
2024-08-08 18:26:00.000,1060.0607,1698.875,703.223
2024-08-08 18:25:30.000,1047.2092,1695.936,691.833
2024-08-08 18:25:00.000,1199.855,1825.672,707.157
2024-08-08 18:24:30.000,1344.8587,1750.667,774.637
2024-08-08 18:24:00.000,1386.2132,1774.521,743.492
