bin(1m),avg(@duration),max(@duration),min(@duration),"pct(@duration, 99)",count(@duration)
2024-08-08 18:27:00.000,860.5245,1635.057,695.826,1635.057,19
2024-08-08 18:26:00.000,1063.0483,1698.875,691.849,1698.875,45
2024-08-08 18:25:00.000,1119.5151,1825.672,691.833,1825.672,57
2024-08-08 18:24:00.000,1363.8128,1774.521,743.492,1774.521,24
