data:text/csv;charset=utf-8,Id,metric_alias_metrics_view_graph_0
StatusCode,Complete,
Messages,,
Full label,eu-north-1:AWS/Lambda ConcurrentExecutions Sum 60,
Label,ConcurrentExecutions,
2024/08/08 21:24:00,88,
2024/08/08 21:25:00,267,
2024/08/08 21:26:00,233,
2024/08/08 21:27:00,116,
