bin(30s),Average,NinetyNinth,NinetyFifth,Ninetieth
2024-08-03 12:17:30.000,1994.3548,3580,3537,3514
2024-08-03 12:17:00.000,2086.25,3557,3545,3539
2024-08-03 12:16:30.000,2139.625,3525,3525,3491
2024-08-03 12:16:00.000,2093.6316,3582,3582,3540
2024-08-03 12:15:30.000,2061.6452,3594,3504,3489
2024-08-03 12:15:00.000,2153.9375,3562,3562,3550
2024-08-03 12:14:30.000,2585.5833,3809,3529,3507
2024-08-03 12:14:00.000,1994.25,2065,2065,2065
