@timestamp,requestId,functionArn,executionTime
2024-08-06 09:19:38.036,,,
2024-08-06 09:19:38.286,,,
2024-08-06 09:19:38.290,,,
2024-08-06 09:19:38.290,7f7e8f7b-d208-5dd5-83b2-d0503ee10f00,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.130171531s
2024-08-06 09:19:38.291,,,
2024-08-06 09:19:38.630,,,
2024-08-06 09:19:38.800,,,
2024-08-06 09:19:38.800,f2515907-217f-57e9-86bc-062ccd97e2fd,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.141710178s
2024-08-06 09:19:38.801,,,
2024-08-06 09:19:38.951,,,
2024-08-06 09:19:38.951,616c1738-7e35-508a-ad07-481392dcb15d,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,913.355218ms
2024-08-06 09:19:38.952,,,
2024-08-06 09:19:38.957,,,
2024-08-06 09:19:38.957,8141b2a4-9ae5-59a2-a243-ed8f760582f3,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.197588654s
2024-08-06 09:19:38.958,,,
2024-08-06 09:19:38.990,,,
2024-08-06 09:19:39.346,,,
2024-08-06 09:19:39.346,0d53f63e-0d97-5d49-93c8-a915e17d985d,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.058165741s
2024-08-06 09:19:39.347,,,
2024-08-06 09:19:39.822,,,
2024-08-06 09:19:39.822,b0f568da-9a99-5bd5-b8fe-37f17670983a,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.851149908s
2024-08-06 09:19:39.823,,,
2024-08-06 09:19:39.839,,,
2024-08-06 09:19:39.839,7de27ee3-1a57-55f0-9005-21c8f6bd1725,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,1.206946642s
2024-08-06 09:19:39.840,,,
2024-08-06 09:19:41.146,,,
2024-08-06 09:19:41.146,ee20a576-9cc2-5ceb-b318-fa5d70229e3e,arn:aws:lambda:eu-north-1:382277151775:function:awsCrayfish,2.151257458s
2024-08-06 09:19:41.147,,,
2024-08-06 09:19:57.685,,,
2024-08-06 09:19:57.688,,,
2024-08-06 09:19:57.695,,,
2024-08-06 09:19:57.810,,,
