bin(30s),Average,NinetyNinth,NinetyFifth,Ninetieth
2024-08-06 09:22:30.000,1257.6471,2252,2252,1847
2024-08-06 09:22:00.000,1266.5294,2317,2317,2248
2024-08-06 09:21:30.000,1169.8919,2267,2169,1219
2024-08-06 09:21:00.000,1147.8889,2257,2257,1191
2024-08-06 09:20:30.000,1272.2353,2153,2153,1827
2024-08-06 09:20:00.000,1375.8846,2620,2291,2220
2024-08-06 09:19:30.000,1298.2727,2205,2158,2147
2024-08-06 09:19:00.000,1877.75,2600,2600,2475
