bin(1m),avg(@duration),max(@duration),min(@duration),"pct(@duration, 99)",count(@duration)
2024-08-08 13:41:00.000,853.8574,1654.145,659.49,1654.145,55
2024-08-08 13:40:00.000,941.6148,1753.661,668.279,1753.661,56
2024-08-08 13:39:00.000,1164.9351,1745.68,686.671,1745.68,49
