data:text/csv;charset=utf-8,Id,metric_alias_metrics_view_graph_0,metric_alias_metrics_view_graph_1,metric_alias_metrics_view_graph_2
StatusCode,Complete,Complete,Complete,
Messages,,,,
Full label,eu-north-1:AWS/Lambda Duration Minimum 60,eu-north-1:AWS/Lambda Duration Average 60,eu-north-1:AWS/Lambda Duration Maximum 60,
Label,Duration,Duration,Duration,
2024/08/08 16:39:00,686.67,1223.8371696226416,1973.47,
2024/08/08 16:40:00,668.28,903.3432690384614,1980.11,
2024/08/08 16:41:00,659.49,853.8565449090911,1654.14,
