data:text/csv;charset=utf-8,Id,metric_alias_metrics_view_graph_0
StatusCode,Complete,
Messages,,
Full label,eu-north-1:AWS/Lambda Invocations Sum 60,
Label,Invocations,
2024/08/08 16:39:00,53,
2024/08/08 16:40:00,52,
2024/08/08 16:41:00,55,
