bin(30s),Average,NinetyNinth,NinetyFifth,Ninetieth
2024-08-08 13:41:30.000,920.8235,1626,1626,1605
2024-08-08 13:41:00.000,824.6053,1655,1649,841
2024-08-08 13:40:30.000,838.2973,1576,1572,860
2024-08-08 13:40:00.000,1167.4211,1981,1981,1648
2024-08-08 13:39:30.000,1087.913,1639,1634,1625
2024-08-08 13:39:00.000,1295,1974,1919,1670
