data:text/csv;charset=utf-8,Id,metric_alias_metrics_view_graph_0
StatusCode,Complete
Messages,
Full label,eu-north-1:LambdaInsights function_name:awsCrayfish total_network Maximum 60
Label,total_network
2024/08/08 16:39:00,57199
2024/08/08 16:40:00,44911
2024/08/08 16:41:00,45183
