bin(30s),Average,NinetyNinth,NinetyFifth,Ninetieth
2024-08-06 05:09:30.000,1924,2823,2823,2823
2024-08-06 05:09:00.000,1672.8462,2780,2763,2749
2024-08-06 05:08:30.000,1825.1538,2803,2797,2767
2024-08-06 05:08:00.000,1796.0526,2795,2795,2778
2024-08-06 05:07:30.000,1954.4,2756,2732,2717
2024-08-06 05:07:00.000,1821.3913,2776,2724,2723
2024-08-06 05:06:30.000,2324.8571,2750,2750,2725
2024-08-06 05:06:00.000,2159.5455,3151,3151,3053
