data:text/csv;charset=utf-8,Id,metric_alias_metrics_view_graph_0
StatusCode,Complete
Messages,
Full label,eu-north-1:AWS/Lambda Invocations Sum 60
Label,Invocations
2024/08/06 08:06:00,25
2024/08/06 08:07:00,43
2024/08/06 08:08:00,45
2024/08/06 08:09:00,31
