data:text/csv;charset=utf-8,Id,metric_alias_metrics_view_graph_0
StatusCode,Complete
Messages,
Full label,eu-north-1:LambdaInsights function_name:awsCrayfish total_network Maximum 60
Label,total_network
2024/08/06 08:06:00,46561
2024/08/06 08:07:00,47687
2024/08/06 08:08:00,40612
2024/08/06 08:09:00,39018
